
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A0:FF:70:99:FF:78, 2020-11-26 21:12:05, 2020-11-26 21:12:05, 11,  54, WPA2, CCMP, PSK, -66,        1,        0,   0.  0.  0.  0,  13, Vodafone-FF74, 
88:71:B1:8F:6B:C3, 2020-11-26 21:12:05, 2020-11-26 21:12:06, 11,  54, WPA2, CCMP, PSK, -82,        5,        0,   0.  0.  0.  0,  13, Vodafone-AE1D, 
D4:21:22:77:93:4B, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, WPA2, CCMP, PSK, -56,        2,        0,   0.  0.  0.  0,  11, WLAN-924599, 
3C:A6:2F:AD:39:D2, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1, 720, WPA2, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 TT, 
3C:A6:2F:6D:E4:1F, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1, 720, WPA2, CCMP, PSK, -85,        2,        2,   0.  0.  0.  0,  17, FRITZ!Box 7590 FC, 
AC:22:05:84:04:18, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, WPA2, CCMP, PSK, -84,        2,        0,   0.  0.  0.  0,  13, KabelBox-DCC8, 
AC:22:05:AD:44:B8, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  13, KabelBox-64A8, 
D0:65:CA:12:E9:6A, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, OPN, ,   , -86,        1,        0,   0.  0.  0.  0,  11, Telekom_FON, 
06:53:7C:93:ED:BD, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, OPN, ,   , -88,        1,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
54:67:51:CA:93:34, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  13, KabelBox-BFC4, 
4C:09:D4:B1:14:0B, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  11, WLAN-896941, 
4C:09:D4:B1:14:0C, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  1,  54, OPN, ,   , -88,        1,        0,   0.  0.  0.  0,  11, Telekom_FON, 
84:94:8C:E1:1F:4B, 2020-11-26 21:12:05, 2020-11-26 21:12:05,  6,  54, OPN, ,   , -80,        2,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C4:95:00:45:9F:32, 2020-11-26 21:12:05, 2020-11-26 21:12:05, -27,        3, D4:21:22:77:93:4B,

